zid,customers_cnt_home,customers_cnt_job,customers_cnt_day,customers_cnt_move
32909,4,0,0,0
32910,25,8,26,0
33261,2,0,2,0
33262,13,2,11,0
33263,10,0,3,0
33264,17,2,14,0
33265,15,3,10,0
33614,18,6,17,0
33615,9,3,6,0
33616,8,0,4,1
33617,9,0,5,1
33618,8,3,9,0
33619,5,0,0,1
33620,16,3,7,0
33621,15,4,11,1
33622,20,4,12,1
33623,14,4,15,0
33624,7,3,10,0
33965,11,0,8,0
33966,37,6,23,1
33967,10,6,9,0
33968,25,8,19,0
33969,35,5,35,2
33970,11,2,6,0
33971,4,0,4,0
33972,13,4,11,0
33973,12,8,12,0
33974,12,4,13,0
33975,6,2,6,0
33976,25,0,15,0
33977,7,5,9,0
33978,25,4,23,0
33979,25,8,25,1
33980,24,4,20,1
34317,9,2,8,0
34318,68,10,51,0
34319,23,6,18,0
34320,54,5,41,2
34321,55,9,41,6
34322,37,8,30,1
34323,8,5,9,0
34324,26,4,23,0
34325,17,5,16,0
34326,10,3,8,0
34327,8,3,11,0
34328,9,0,8,0
34329,8,0,7,0
34330,6,0,3,0
34331,20,2,12,1
34332,30,7,25,0
34668,17,9,18,3
34669,44,5,36,1
34670,55,8,44,4
34671,58,7,37,5
34672,52,4,29,5
34673,24,8,22,1
34674,45,13,48,0
34675,27,3,18,0
34676,15,4,17,0
34677,4,2,4,0
34678,6,2,7,0
34679,9,3,7,0
34680,21,3,14,1
34681,19,2,16,0
34682,18,5,16,2
34683,10,2,9,0
34684,14,0,9,0
34685,12,0,10,0
34686,3,8,8,2
35016,20,7,16,1
35017,49,6,42,2
35018,51,3,32,2
35019,23,8,20,1
35020,47,11,41,1
35021,56,7,37,0
35022,58,15,51,0
35023,39,9,35,0
35024,37,4,31,2
35025,14,3,12,0
35026,22,3,13,1
35027,9,6,14,0
35028,37,8,36,0
35029,13,3,11,0
35030,10,0,7,1
35031,21,6,15,1
35032,15,2,15,0
35033,14,3,15,0
35034,31,4,27,0
35035,13,5,16,0
35368,43,6,31,3
35369,49,9,40,0
35370,32,3,22,1
35371,44,17,52,1
35372,48,4,36,1
35373,41,6,29,2
35374,28,2,18,0
35375,27,10,28,0
35376,4,3,5,0
35377,13,7,14,0
35378,6,4,6,0
35379,17,5,15,2
35380,17,4,16,0
35381,5,2,5,0
35382,14,3,13,0
35383,8,3,8,0
35384,9,0,8,0
35385,6,2,4,0
35386,6,0,6,0
35725,8,0,8,0
35727,4,4,8,0
35728,19,7,15,0
35729,34,7,28,0
35730,64,4,39,3
35731,48,7,34,0
35732,38,7,28,0
35733,40,7,33,0
35734,28,2,18,0
35735,23,2,11,1
35736,15,2,8,0
35737,9,3,7,1
35738,7,3,6,0
35739,16,0,9,0
35740,10,3,11,0
35741,9,0,9,0
35742,11,2,10,0
35743,9,0,4,1
35744,6,0,6,0
35745,8,0,7,0
35746,12,0,5,0
36090,7,0,4,0
36091,28,2,12,0
36092,28,3,13,1
36093,57,4,34,0
36094,28,4,15,0
36095,16,8,16,0
36096,18,6,13,0
36097,46,4,38,0
36098,34,6,20,0
36099,36,14,43,0
36100,47,2,37,0
36101,56,10,44,4
36102,51,10,46,0
36103,13,6,15,0
36104,19,4,10,3
36105,11,3,10,0
36106,3,2,2,0
36107,6,0,6,0
36108,7,2,8,0
36109,9,0,6,0
36110,7,0,4,0
36111,27,0,16,2
36112,8,4,12,0
36113,12,3,11,0
36458,6,0,3,0
36459,36,4,26,0
36460,44,5,29,0
36461,50,4,32,0
36462,69,11,48,6
36463,57,12,45,5
36464,76,5,51,2
36465,30,5,18,0
36466,28,4,17,2
36467,42,11,36,1
36468,48,10,39,2
36469,33,9,35,0
36470,54,4,36,0
36471,30,3,19,0
36472,13,5,8,0
36473,4,4,6,0
36474,6,3,7,1
36475,6,2,4,0
36476,11,0,8,0
36477,4,0,3,0
36478,11,8,15,0
36479,18,4,15,3
36480,2,0,2,0
36481,14,2,12,0
36482,10,2,9,0
36832,26,3,9,0
36833,34,9,24,0
36834,30,2,15,0
36835,40,4,25,1
36836,78,13,53,2
36837,51,14,39,4
36838,26,0,15,1
36839,21,4,14,2
36840,15,9,16,0
36841,45,7,30,1
36842,49,8,38,0
36843,58,13,41,2
36844,36,4,20,3
36845,20,4,18,0
36846,21,8,15,3
36847,11,3,6,0
36848,9,8,12,1
36849,7,0,4,0
36850,15,0,9,0
36851,2,0,2,0
36852,4,0,4,0
36853,5,0,3,2
36854,4,0,0,0
36855,22,3,12,2
36856,15,2,12,0
36857,22,6,26,0
37219,1,0,1,0
37220,41,16,29,0
37221,30,4,13,0
37222,31,6,26,0
37223,41,6,30,1
37224,69,8,40,3
37225,33,5,21,1
37226,28,1,18,0
37227,18,3,16,0
37228,17,3,15,0
37229,31,7,31,0
37230,64,6,37,0
37231,37,8,30,0
37232,29,10,25,0
37233,57,15,55,0
37234,12,0,10,0
37235,17,4,16,0
37236,6,2,5,0
37237,8,3,7,0
37238,7,4,8,0
37239,13,0,9,0
37240,10,2,9,1
37241,11,8,15,0
37242,2,0,2,0
37243,4,3,6,0
37244,31,5,28,0
37610,33,5,17,2
37611,72,10,45,3
37612,130,16,86,6
37613,80,7,45,7
37614,46,7,33,2
37615,28,5,28,0
37616,22,5,17,0
37617,31,14,39,0
37618,35,11,32,1
37619,33,13,33,2
37620,50,8,37,0
37621,48,15,35,2
37622,55,16,55,1
37623,55,10,40,1
37624,88,8,59,4
37625,17,5,15,0
37626,8,3,9,0
37627,3,0,2,0
37628,9,0,5,1
37629,7,0,6,0
37630,21,2,18,0
37631,13,0,10,0
37632,11,2,10,0
37633,8,0,6,1
37634,13,3,14,0
37635,17,6,18,0
38002,67,6,43,3
38003,119,12,58,7
38004,112,16,67,7
38005,98,11,55,6
38006,83,12,56,2
38007,49,9,39,0
38008,45,14,41,1
38009,48,11,46,0
38010,51,9,40,0
38011,66,21,75,2
38012,38,11,34,0
38013,61,15,51,1
38014,77,17,64,1
38015,42,10,29,1
38016,107,28,94,0
38017,63,19,59,0
38018,13,3,13,0
38019,18,5,17,0
38020,11,2,10,0
38021,12,0,6,0
38022,7,3,8,0
38023,17,3,12,0
38024,12,3,8,0
38025,30,6,32,2
38026,10,0,4,0
38027,15,10,21,0
38401,7,0,7,0
38402,133,13,65,10
38403,111,11,71,8
38404,120,13,74,4
38405,158,23,91,1
38406,56,10,41,1
38407,30,3,19,1
38408,37,3,23,0
38409,38,6,32,2
38410,56,16,42,0
38411,36,6,27,3
38412,65,13,54,0
38413,48,6,33,1
38414,45,9,47,0
38415,82,11,54,1
38416,150,24,102,10
38417,43,15,42,0
38418,10,2,8,0
38419,22,4,18,0
38420,15,4,15,0
38421,13,4,16,0
38422,11,23,30,0
38423,24,0,18,0
38424,21,2,19,2
38425,22,2,11,0
38426,18,3,12,1
38427,14,0,10,0
38806,96,7,60,6
38807,128,20,75,6
38808,112,13,63,3
38809,104,15,62,2
38810,37,6,18,0
38811,32,7,30,0
38812,27,9,24,2
38813,46,7,28,1
38814,35,7,27,1
38815,58,6,51,0
38816,48,8,43,1
38817,64,12,53,0
38818,44,12,46,0
38819,64,15,55,2
38820,66,13,46,1
38821,33,6,25,1
38822,22,9,28,0
38823,16,2,10,0
38824,14,0,14,0
38825,12,3,9,0
38826,10,0,9,0
38827,9,0,9,0
38828,20,4,17,0
38829,9,0,8,0
38830,15,2,11,0
38831,24,3,22,0
39212,49,14,33,0
39213,74,15,49,0
39214,55,6,41,0
39215,58,5,37,2
39216,82,6,51,5
39217,52,14,44,2
39218,29,8,26,2
39219,24,4,16,1
39220,61,12,53,0
39221,27,8,22,0
39222,43,3,31,3
39223,45,9,28,0
39224,57,6,44,2
39225,39,10,36,0
39226,40,4,28,1
39227,51,27,54,0
39228,43,20,42,1
39229,45,15,46,2
39230,49,6,34,4
39231,16,5,15,0
39232,17,3,16,0
39233,17,2,14,1
39234,6,6,9,0
39235,4,0,4,0
39236,10,4,9,1
39237,11,7,15,0
39238,15,5,10,0
39239,39,19,37,3
39627,73,4,70,0
39628,64,6,44,0
39629,44,8,34,2
39630,51,9,36,2
39631,38,2,16,0
39632,27,6,16,1
39633,25,9,22,1
39634,31,6,25,0
39635,37,7,26,1
39636,39,8,31,1
39637,37,8,29,0
39638,39,6,27,3
39639,31,9,25,0
39640,13,2,7,1
39641,27,8,24,1
39642,46,13,47,0
39643,45,30,57,2
39644,42,11,35,3
39645,29,6,23,0
39646,17,4,17,1
39647,17,3,11,0
39648,12,3,10,1
39649,13,4,11,0
39650,7,3,8,0
39651,8,4,7,0
39652,13,2,12,0
39653,17,6,22,0
39654,36,5,32,1
39672,23,10,19,0
39673,16,14,18,0
40058,54,9,30,2
40059,22,3,15,0
40060,45,11,30,0
40061,57,24,54,3
40062,22,3,12,1
40063,46,12,48,7
40064,36,9,17,2
40065,36,7,30,0
40066,47,10,35,2
40067,28,7,25,0
40068,24,3,20,0
40069,33,10,29,0
40070,22,3,15,0
40071,18,4,12,1
40072,20,5,16,1
40073,27,8,24,1
40074,36,6,31,0
40075,24,5,19,0
40076,13,5,12,1
40077,17,0,10,0
40078,23,2,22,0
40079,25,4,19,0
40080,14,0,11,0
40081,13,2,11,0
40082,17,4,18,0
40083,9,4,9,1
40084,7,0,7,0
40085,7,4,7,0
40103,42,31,61,0
40104,46,28,55,0
40105,13,19,26,0
40500,2,0,2,0
40501,22,3,15,0
