,zid,customers_cnt_home,customers_cnt_job,customers_cnt_day,customers_cnt_move,lat,lon,customers_dlt_home,customers_dlt_job,customers_dlt_day,customers_dlt_move,nearest_mfc,logistic,mfc_chance,nearest_mfc_id,nearest_mfc_distance,metaInfo,predicted_customers_cnt_home,predicted_customers_cnt_job,predicted_customers_cnt_day,predicted_customers_cnt_move,mfc_chance_agreg,mfc_chance_balance
0,32909,2,0,0,0,55.14028664630593,37.03351220866129,-2,0,0,0,43617.48364582916,0,5.0,272644507,43617.483645830216,Насление: 2<br/><b>Прирост:</b> 2<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,0,0,0,0,11.367988320828491,5.0
1,32910,13,6,26,0,55.14031640325421,37.041353646223094,-12,-2,0,0,43407.99518879094,0,5.0,272644507,43407.99518879094,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,1,4,26,0,11.326988309856743,5.0
2,33261,2,0,2,0,55.144748137163255,37.025617510315115,0,0,0,0,43381.46149943839,0,5.0,272644507,43381.461499439814,Насление: 2<br/><b>Прирост:</b> 2<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,2,0,2,0,11.312599625708069,5.0
3,33262,13,1,11,0,55.1447784035577,37.03345981389939,0,-1,0,0,43165.03494219324,2,4.3,272644507,43165.03494219358,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,13,0,11,0,11.26650383987237,4.3
4,33263,7,0,2,0,55.14480816490281,37.04130213212257,-3,0,-1,0,42953.339820775065,0,5.0,272644507,42953.33982077472,Насление: 7<br/><b>Прирост:</b> 7<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,4,0,1,0,11.211549423341994,5.0
5,33264,27,1,11,0,55.1448374222931,37.049144464726,10,-1,-3,0,42746.4463265914,2,4.3,272644507,42746.4463265914,Насление: 27<br/><b>Прирост:</b> 27<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,37,0,8,0,11.171166227589856,4.3
6,33265,22,2,10,0,55.14486617517827,37.0569868114702,7,-1,0,0,42544.42457414572,0,5.0,272644507,42544.424574144665,Насление: 22<br/><b>Прирост:</b> 22<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,29,1,10,0,11.121482357197834,5.0
7,33614,20,6,14,0,55.14923988602021,37.02556422002536,2,0,-3,0,42932.350306855136,0,5.0,272644507,42932.350306854416,Насление: 20<br/><b>Прирост:</b> 20<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,22,6,11,0,11.21428543283316,5.0
8,33615,7,3,4,0,55.149270156896456,37.03340740451147,-2,0,-2,0,42713.6481234089,0,5.0,272644507,42713.648123407496,Насление: 7<br/><b>Прирост:</b> 7<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,5,3,2,0,11.155763880748506,5.0
9,33616,9,0,3,0,55.14929992373602,37.04125060362923,1,0,-1,-1,42499.70447321395,0,5.0,272644507,42499.704473214646,Насление: 9<br/><b>Прирост:</b> 9<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,10,0,2,-1,11.10479124082938,5.0
10,33617,12,0,4,0,55.149329185988684,37.04909381713915,3,0,-1,-1,42290.59163840355,3,4.0,272644507,42290.59163840392,Насление: 12<br/><b>Прирост:</b> 12<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,15,0,3,-1,11.056987297450384,4.0
11,33618,10,2,7,0,55.14935794365241,37.05693704479521,2,-1,-2,0,42086.38163468016,0,5.0,272644507,42086.38163468051,Насление: 10<br/><b>Прирост:</b> 10<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,12,1,5,0,11.008209468784973,5.0
12,33619,5,0,0,0,55.14938619672522,37.064780286351386,0,0,0,-1,41887.14617710077,0,5.0,272644507,41887.14617710184,Насление: 5<br/><b>Прирост:</b> 5<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,5,0,0,-1,10.957524012781482,5.0
13,33620,14,3,7,0,55.14941394520525,37.07262354156165,-2,0,0,0,41692.95658776494,3,4.0,272644507,41692.95658776636,Насление: 14<br/><b>Прирост:</b> 14<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,12,3,7,0,10.916476193240104,4.0
14,33621,17,3,9,0,55.14944118799408,37.08046681019148,2,-1,-2,-1,41503.8838135633,6,4.0,272644507,41503.8838135633,Насление: 17<br/><b>Прирост:</b> 17<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,19,2,7,-1,10.873435714726767,4.0
15,33622,23,3,11,1,55.14946792727636,37.08831009005705,3,-1,-1,0,41319.99791928518,6,4.0,272644507,41319.99791928305,Насление: 24<br/><b>Прирост:</b> 24<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,26,2,10,1,10.83222238549991,4.0
16,33623,17,3,13,0,55.14949416196681,37.096153384753215,3,-1,-2,0,41141.36848594464,0,5.0,272644507,41141.36848594394,Насление: 17<br/><b>Прирост:</b> 17<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,20,2,11,0,10.787029165113648,5.0
17,33624,10,3,10,0,55.14951989205709,37.10399669211935,3,0,0,0,40968.064324506966,0,5.0,272644507,40968.06432450556,Насление: 10<br/><b>Прирост:</b> 10<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,13,3,10,0,10.74381483795434,5.0
18,33965,6,0,6,0,55.15370085093732,37.01766686411366,-5,0,-2,0,42710.10916599559,0,5.0,272644507,42710.10916599559,Насление: 6<br/><b>Прирост:</b> 6<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,1,0,4,0,11.154090740782326,5.0
19,33966,50,5,22,1,55.1537316309632,37.02551091485808,13,-1,-1,0,42484.37755446267,3,4.0,272644507,42484.377554461964,Насление: 51<br/><b>Прирост:</b> 51<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,63,4,21,1,11.118975360902839,4.0
20,33967,16,4,7,0,55.15376190741888,37.03335498047911,6,-2,-2,0,42263.35710139536,2,4.3,272644507,42263.35710139501,Насление: 16<br/><b>Прирост:</b> 16<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,22,2,5,0,11.053009546053428,4.3
21,33968,22,7,18,0,55.15379167920579,37.04119906074389,-3,-1,-1,0,42047.122217669785,0,5.0,272644507,42047.122217669785,Насление: 22<br/><b>Прирост:</b> 22<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,19,6,17,0,11.005057743433381,5.0
22,33969,55,4,33,1,55.1538209463219,37.04904315540632,20,-1,-2,-1,41835.74711616316,0,5.0,272644507,41835.747116162805,Насление: 56<br/><b>Прирост:</b> 56<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,75,3,31,0,10.968244376498253,5.0
23,33970,13,1,5,0,55.15384970875828,37.05688726230545,2,-1,-1,0,41629.305881876986,8,4.0,272644507,41629.305881875945,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 8<br/><b>Необходимость постройки учреждения:</b> 4.0,15,0,4,0,10.901584300339557,4.0
24,33971,3,0,3,0,55.153877965430496,37.06473138503674,-1,0,-1,0,41427.87229152752,0,5.0,272644507,41427.872291528925,Насление: 3<br/><b>Прирост:</b> 3<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,2,0,2,0,10.848474777458526,5.0
25,33972,13,3,10,0,55.15390571852254,37.07257552141516,0,-1,-1,0,41231.51957279851,0,5.0,272644507,41231.51957279851,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,13,2,9,0,10.806556242578337,5.0
26,33973,14,6,12,0,55.153932966936,37.08041967120675,2,-2,0,0,41040.32077273316,9,4.0,272644507,41040.32077273316,Насление: 14<br/><b>Прирост:</b> 14<br/><b>Логистика:</b> 9<br/><b>Необходимость постройки учреждения:</b> 4.0,16,4,12,0,10.76491199085125,4.0
27,33974,9,4,12,0,55.15395971066902,37.088263834165396,-3,0,-1,0,40854.34825984146,0,5.0,272644507,40854.34825984146,Насление: 9<br/><b>Прирост:</b> 9<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,6,4,11,0,10.716428310203323,5.0
28,33975,3,1,6,0,55.15398594917156,37.09610801005053,-3,-1,0,0,40673.67378693232,0,5.0,272644507,40673.67378693056,Насление: 3<br/><b>Прирост:</b> 3<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,0,0,6,0,10.669917049833082,5.0
29,33976,18,0,12,0,55.154011683538286,37.1039521986048,-7,0,-3,0,40498.36815460313,0,5.0,272644507,40498.36815460348,Насление: 18<br/><b>Прирост:</b> 18<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,11,0,9,0,10.632288255571515,5.0
30,33977,4,4,8,0,55.15403691321922,37.11179639958774,-3,-1,-1,0,40328.5014414478,0,5.0,272644507,40328.5014414478,Насление: 4<br/><b>Прирост:</b> 4<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,1,3,7,0,10.589177908612873,5.0
31,33978,14,4,24,0,55.15406163821263,37.11964061275322,-11,0,1,0,40164.1426629663,0,5.0,272644507,40164.14266296629,Насление: 14<br/><b>Прирост:</b> 14<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,3,4,25,0,10.555696181415739,5.0
32,33979,18,7,25,0,55.15408585851686,37.127484837855114,-7,-1,0,-1,40005.359712571066,7,4.0,272644507,40005.359712568614,Насление: 18<br/><b>Прирост:</b> 18<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,11,6,25,-1,10.521638235515237,4.0
33,33980,21,3,16,1,55.15410957413018,37.13532907464728,-3,-1,-4,0,39852.21924405394,3,4.0,272644507,39852.21924405288,Насление: 22<br/><b>Прирост:</b> 22<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,18,2,12,1,10.482265971752316,4.0
34,34317,14,1,7,0,55.1581925868504,37.01761266268153,5,-1,-1,0,42265.69769521964,0,5.0,272644507,42265.69769522071,Насление: 14<br/><b>Прирост:</b> 14<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,19,0,6,0,11.052020867148364,5.0
35,34318,72,8,43,0,55.15822337308892,37.0254575947946,4,-2,-8,0,42037.579526481575,7,4.0,272644507,42037.579526481575,Насление: 72<br/><b>Прирост:</b> 72<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,76,6,35,0,11.022399486255567,4.0
36,34319,28,6,15,0,55.15825365456958,37.03330253988818,5,0,-3,0,41814.197388485714,6,4.0,272644507,41814.197388485714,Насление: 28<br/><b>Прирост:</b> 28<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,33,6,12,0,10.952425697313608,4.0
37,34320,32,4,36,2,55.15828343130504,37.04114750154607,-22,-1,-5,0,41595.62748150355,15,4.0,272644507,41595.62748150461,Насление: 34<br/><b>Прирост:</b> 34<br/><b>Логистика:</b> 15<br/><b>Необходимость постройки учреждения:</b> 4.0,10,3,31,2,10.904988503449172,4.0
38,34321,91,9,34,5,55.15831270328583,37.048992477607094,36,0,-7,-1,41381.94612078476,5,4.0,272644507,41381.94612078476,Насление: 96<br/><b>Прирост:</b> 96<br/><b>Логистика:</b> 5<br/><b>Необходимость постройки учреждения:</b> 4.0,127,9,27,4,10.873925919231805,4.0
39,34322,22,7,28,1,55.15834147050997,37.05683746782502,-15,-1,-2,0,41173.22942611929,12,4.0,272644507,41173.22942611929,Насление: 23<br/><b>Прирост:</b> 23<br/><b>Логистика:</b> 12<br/><b>Необходимость постройки учреждения:</b> 4.0,7,6,26,1,10.8012579387144,4.0
40,34323,9,4,7,0,55.158369732975494,37.06468247195365,1,-1,-2,0,40969.55328176212,2,4.3,272644507,40969.5532817607,Насление: 9<br/><b>Прирост:</b> 9<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,10,3,5,0,10.743336818868197,4.3
