,cell_zid,area_peresechenia_s_admzone_kv.km,adm_zid,adm_name,okrug_name,sub_ter
0,32909,0.407116,216,Роговское,Троицкий административный округ,Новая Москва
1,32910,1.00345811,216,Роговское,Троицкий административный округ,Новая Москва
2,33261,0.23331238,216,Роговское,Троицкий административный округ,Новая Москва
3,33262,1.86803165,216,Роговское,Троицкий административный округ,Новая Москва
4,33263,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
5,33264,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
6,33265,2.46342535,216,Роговское,Троицкий административный округ,Новая Москва
7,33614,1.87023613,216,Роговское,Троицкий административный округ,Новая Москва
8,33615,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
9,33616,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
10,33617,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
11,33618,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
12,33619,2.5006350399999997,216,Роговское,Троицкий административный округ,Новая Москва
13,33620,2.50063702,216,Роговское,Троицкий административный округ,Новая Москва
14,33621,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
15,33622,2.50064042,216,Роговское,Троицкий административный округ,Новая Москва
16,33623,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
17,33624,2.21843184,216,Роговское,Троицкий административный округ,Новая Москва
18,33965,1.25169876,216,Роговское,Троицкий административный округ,Новая Москва
19,33966,2.49889233,216,Роговское,Троицкий административный округ,Новая Москва
20,33967,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
21,33968,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
22,33969,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
23,33970,2.50063426,216,Роговское,Троицкий административный округ,Новая Москва
24,33971,2.50063627,216,Роговское,Троицкий административный округ,Новая Москва
25,33972,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
26,33973,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
27,33974,2.50064042,216,Роговское,Троицкий административный округ,Новая Москва
28,33975,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
29,33976,2.4908294399999997,216,Роговское,Троицкий административный округ,Новая Москва
30,33977,2.31933799,216,Роговское,Троицкий административный округ,Новая Москва
31,33978,2.11955837,216,Роговское,Троицкий административный округ,Новая Москва
32,33979,1.9198555499999999,216,Роговское,Троицкий административный округ,Новая Москва
33,33980,1.43663121,216,Роговское,Троицкий административный округ,Новая Москва
34,34317,2.19410335,216,Роговское,Троицкий административный округ,Новая Москва
35,34318,2.50062623,216,Роговское,Троицкий административный округ,Новая Москва
36,34319,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
37,34320,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
38,34321,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
39,34322,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
40,34323,2.50063505,216,Роговское,Троицкий административный округ,Новая Москва
41,34324,2.50063687,216,Роговское,Троицкий административный округ,Новая Москва
42,34325,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
43,34326,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
44,34327,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
45,34328,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
46,34329,2.50064522,216,Роговское,Троицкий административный округ,Новая Москва
47,34330,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
48,34331,2.50064786,216,Роговское,Троицкий административный округ,Новая Москва
49,34332,1.88371311,216,Роговское,Троицкий административный округ,Новая Москва
50,34668,1.82473507,216,Роговское,Троицкий административный округ,Новая Москва
51,34669,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
52,34670,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
53,34671,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
54,34672,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
55,34673,2.5006335,216,Роговское,Троицкий административный округ,Новая Москва
56,34674,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
57,34675,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
58,34676,2.5006388200000003,216,Роговское,Троицкий административный округ,Новая Москва
59,34677,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
60,34678,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
61,34679,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
62,34680,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
63,34681,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
64,34682,2.5006484700000002,216,Роговское,Троицкий административный округ,Новая Москва
65,34683,2.2995172399999997,216,Роговское,Троицкий административный округ,Новая Москва
66,34684,1.74527916,216,Роговское,Троицкий административный округ,Новая Москва
67,34685,1.89256495,216,Роговское,Троицкий административный округ,Новая Москва
68,34686,1.9320575500000001,216,Роговское,Троицкий административный округ,Новая Москва
69,35016,1.9044579199999998,216,Роговское,Троицкий административный округ,Новая Москва
70,35017,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
71,35018,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
72,35019,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
73,35020,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
74,35021,2.5006335,216,Роговское,Троицкий административный округ,Новая Москва
75,35022,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
76,35023,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
77,35024,2.50063881,216,Роговское,Троицкий административный округ,Новая Москва
78,35025,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
79,35026,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
80,35027,2.5006437,216,Роговское,Троицкий административный округ,Новая Москва
81,35028,2.50064522,216,Роговское,Троицкий административный округ,Новая Москва
82,35029,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
83,35030,2.50064756,216,Роговское,Троицкий административный округ,Новая Москва
84,35031,2.50064898,216,Роговское,Троицкий административный округ,Новая Москва
85,35032,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
86,35033,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
87,35034,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
88,35035,1.3579051000000002,216,Роговское,Троицкий административный округ,Новая Москва
89,35368,2.13675448,216,Роговское,Троицкий административный округ,Новая Москва
90,35369,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
91,35370,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
92,35371,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
93,35372,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
94,35373,2.50063395,216,Роговское,Троицкий административный округ,Новая Москва
95,35374,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
96,35375,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
97,35376,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
98,35377,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
99,35378,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
100,35379,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
101,35380,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
102,35381,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
103,35382,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
104,35383,2.50064929,216,Роговское,Троицкий административный округ,Новая Москва
105,35384,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
106,35385,2.50065205,216,Роговское,Троицкий административный округ,Новая Москва
